spec_id,tier,algorithm_class,language,threshold,survived,n,survival_rate
t1-ac1-001,t1,ac1,python,60,118,120,0.9833
t1-ac1-001,t1,ac1,python,70,118,120,0.9833
t1-ac1-001,t1,ac1,python,80,118,120,0.9833
t1-ac1-001,t1,ac1,python,60,118,120,0.9833
t1-ac1-001,t1,ac1,python,70,118,120,0.9833
t1-ac1-001,t1,ac1,python,80,118,120,0.9833
t1-ac1-001,t1,ac1,python,60,118,120,0.9833
t1-ac1-001,t1,ac1,python,70,118,120,0.9833
t1-ac1-001,t1,ac1,python,80,118,120,0.9833
t1-ac1-001,t1,ac1,rust,60,118,120,0.9833
t1-ac1-001,t1,ac1,rust,70,118,120,0.9833
t1-ac1-001,t1,ac1,rust,80,118,120,0.9833
t1-ac1-001,t1,ac1,rust,60,118,120,0.9833
t1-ac1-001,t1,ac1,rust,70,118,120,0.9833
t1-ac1-001,t1,ac1,rust,80,118,120,0.9833
t1-ac1-001,t1,ac1,rust,60,118,120,0.9833
t1-ac1-001,t1,ac1,rust,70,118,120,0.9833
t1-ac1-001,t1,ac1,rust,80,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,60,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,70,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,80,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,60,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,70,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,80,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,60,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,70,118,120,0.9833
t1-ac1-001,t1,ac1,haskell,80,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,60,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,70,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,80,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,60,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,70,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,80,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,60,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,70,118,120,0.9833
t1-ac1-001,t1,ac1,ocaml,80,118,120,0.9833
t1-ac1-001,t1,ac1,go,60,118,120,0.9833
t1-ac1-001,t1,ac1,go,70,118,120,0.9833
t1-ac1-001,t1,ac1,go,80,118,120,0.9833
t1-ac1-001,t1,ac1,go,60,118,120,0.9833
t1-ac1-001,t1,ac1,go,70,118,120,0.9833
t1-ac1-001,t1,ac1,go,80,118,120,0.9833
t1-ac1-001,t1,ac1,go,60,118,120,0.9833
t1-ac1-001,t1,ac1,go,70,118,120,0.9833
t1-ac1-001,t1,ac1,go,80,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,60,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,70,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,80,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,60,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,70,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,80,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,60,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,70,118,120,0.9833
t1-ac1-001,t1,ac1,typescript,80,118,120,0.9833
t1-ac2-001,t1,ac2,python,60,118,120,0.9833
t1-ac2-001,t1,ac2,python,70,118,120,0.9833
t1-ac2-001,t1,ac2,python,80,118,120,0.9833
t1-ac2-001,t1,ac2,python,60,118,120,0.9833
t1-ac2-001,t1,ac2,python,70,118,120,0.9833
t1-ac2-001,t1,ac2,python,80,118,120,0.9833
t1-ac2-001,t1,ac2,python,60,118,120,0.9833
t1-ac2-001,t1,ac2,python,70,118,120,0.9833
t1-ac2-001,t1,ac2,python,80,118,120,0.9833
t1-ac2-001,t1,ac2,rust,60,118,120,0.9833
t1-ac2-001,t1,ac2,rust,70,118,120,0.9833
t1-ac2-001,t1,ac2,rust,80,118,120,0.9833
t1-ac2-001,t1,ac2,rust,60,118,120,0.9833
t1-ac2-001,t1,ac2,rust,70,118,120,0.9833
t1-ac2-001,t1,ac2,rust,80,118,120,0.9833
t1-ac2-001,t1,ac2,rust,60,118,120,0.9833
t1-ac2-001,t1,ac2,rust,70,118,120,0.9833
t1-ac2-001,t1,ac2,rust,80,118,120,0.9833
t1-ac2-001,t1,ac2,haskell,60,118,120,0.9833
t1-ac2-001,t1,ac2,haskell,70,118,120,0.9833
t1-ac2-001,t1,ac2,haskell,80,118,120,0.9833
