spec_id,language,impl_pair,n_impls,jaccard,n_shared_subgraphs,n_union
t1-ac1-001,typescript,0-1,2,1.0,3,3
t1-ac1-001,ocaml,1-2,3,1.0,2,2
t1-ac2-001,go,0-2,3,1.0,6,6
t1-ac2-001,ocaml,0-2,3,1.0,1,1
t1-ac2-001,python,0-1,3,1.0,3,3
t1-ac3-001,typescript,0-1,3,1.0,3,3
t1-ac3-001,ocaml,0-1,3,1.0,1,1
t1-ac3-001,ocaml,0-2,3,1.0,1,1
t1-ac3-001,ocaml,1-2,3,1.0,1,1
t1-ac3-001,python,0-1,3,1.0,2,2
t1-ac3-001,python,0-2,3,1.0,2,2
t1-ac3-001,python,1-2,3,1.0,2,2
t1-ac3-001,rust,0-2,3,1.0,5,5
t1-ac3-002,go,0-2,3,1.0,4,4
t1-ac3-002,python,0-2,3,1.0,2,2
t1-ac3-002,rust,0-1,3,1.0,5,5
t1-ac4-001,go,1-2,3,1.0,5,5
t1-ac4-001,ocaml,0-1,3,1.0,1,1
t1-ac4-001,ocaml,0-2,3,1.0,1,1
t1-ac4-001,ocaml,1-2,3,1.0,1,1
t1-ac4-001,python,0-1,3,1.0,3,3
t1-ac4-001,python,0-2,3,1.0,3,3
t1-ac4-001,python,1-2,3,1.0,3,3
t2-ac1-001,go,0-1,2,1.0,5,5
t2-ac1-001,haskell,0-1,3,1.0,1,1
t2-ac1-001,ocaml,0-1,3,1.0,1,1
t2-ac2-001,python,1-2,3,1.0,5,5
t2-ac2-001,rust,0-1,3,1.0,15,15
t2-ac2-002,haskell,1-2,3,1.0,3,3
t2-ac2-002,ocaml,1-2,3,1.0,3,3
t2-ac2-002,python,0-1,3,1.0,5,5
t2-ac2-002,python,0-2,3,1.0,5,5
t2-ac2-002,python,1-2,3,1.0,5,5
t2-ac3-001,typescript,0-1,2,1.0,10,10
t2-ac3-001,ocaml,0-1,3,1.0,2,2
t2-ac3-001,ocaml,0-2,3,1.0,2,2
t2-ac3-001,ocaml,1-2,3,1.0,2,2
t2-ac3-001,python,0-1,2,1.0,4,4
t2-ac3-002,haskell,0-1,3,1.0,2,2
t2-ac3-002,haskell,0-2,3,1.0,2,2
t2-ac3-002,haskell,1-2,3,1.0,2,2
t2-ac3-002,ocaml,0-2,3,1.0,1,1
t2-ac3-002,rust,0-1,3,1.0,9,9
t2-ac3-002,rust,0-2,3,1.0,9,9
t2-ac3-002,rust,1-2,3,1.0,9,9
t2-ac4-001,go,0-2,3,1.0,8,8
t2-ac4-001,haskell,0-1,3,1.0,3,3
t2-ac4-001,haskell,0-2,3,1.0,3,3
t2-ac4-001,haskell,1-2,3,1.0,3,3
t2-ac4-001,typescript,1-2,3,1.0,5,5
t2-ac4-001,ocaml,0-1,3,1.0,1,1
t2-ac4-001,ocaml,0-2,3,1.0,1,1
t2-ac4-001,ocaml,1-2,3,1.0,1,1
t2-ac4-001,python,0-1,2,1.0,3,3
t3-ac2-002,go,0-2,3,1.0,10,10
t3-ac2-002,ocaml,0-1,3,1.0,2,2
t3-ac2-002,ocaml,0-2,3,1.0,2,2
t3-ac2-002,ocaml,1-2,3,1.0,2,2
t3-ac2-002,python,0-1,3,1.0,5,5
t3-ac2-002,python,0-2,3,1.0,5,5
t3-ac2-002,python,1-2,3,1.0,5,5
t3-ac3-001,go,0-2,3,1.0,8,8
t3-ac3-001,typescript,0-2,3,1.0,6,6
t3-ac4-001,haskell,0-2,3,1.0,3,3
t3-ac4-002,haskell,0-2,3,1.0,1,1
t3-ac4-002,ocaml,0-1,3,1.0,2,2
t4-ac1-001,go,0-1,3,1.0,7,7
t4-ac1-001,go,0-2,3,1.0,7,7
t4-ac1-001,go,1-2,3,1.0,7,7
t4-ac4-001,go,0-1,3,1.0,5,5
t4-ac4-001,go,0-2,3,1.0,5,5
t4-ac4-001,go,1-2,3,1.0,5,5
t4-ac4-001,typescript,0-1,2,1.0,6,6
t4-ac4-001,python,0-1,3,1.0,2,2
t4-ac4-001,python,0-2,3,1.0,2,2
t4-ac4-001,python,1-2,3,1.0,2,2
t4-ac4-003,go,1-2,3,1.0,6,6
t4-ac4-003,python,0-1,2,1.0,1,1
