spec_id,language,ac_tier,has_invariant,n_ir_files
t1-ac1-001,go,ac1,False,1
t1-ac1-001,haskell,ac1,False,2
t1-ac1-001,typescript,ac1,False,2
t1-ac1-001,ocaml,ac1,False,3
t1-ac1-001,python,ac1,False,2
t1-ac1-001,rust,ac1,False,2
t1-ac2-001,go,ac2,True,3
t1-ac2-001,haskell,ac2,False,3
t1-ac2-001,typescript,ac2,False,1
t1-ac2-001,ocaml,ac2,True,3
t1-ac2-001,python,ac2,True,3
t1-ac2-001,rust,ac2,True,3
t1-ac3-001,go,ac3,False,3
t1-ac3-001,haskell,ac3,False,3
t1-ac3-001,typescript,ac3,False,3
t1-ac3-001,ocaml,ac3,False,3
t1-ac3-001,python,ac3,False,3
t1-ac3-001,rust,ac3,False,3
t1-ac3-002,go,ac3,False,3
t1-ac3-002,haskell,ac3,False,2
t1-ac3-002,typescript,ac3,False,2
t1-ac3-002,ocaml,ac3,False,2
t1-ac3-002,python,ac3,False,3
t1-ac3-002,rust,ac3,False,3
t1-ac4-001,go,ac4,True,3
t1-ac4-001,haskell,ac4,False,3
t1-ac4-001,typescript,ac4,True,2
t1-ac4-001,ocaml,ac4,True,3
t1-ac4-001,python,ac4,False,3
t1-ac4-001,rust,ac4,True,3
t2-ac1-001,go,ac1,False,2
t2-ac1-001,haskell,ac1,False,3
t2-ac1-001,typescript,ac1,False,1
t2-ac1-001,ocaml,ac1,False,3
t2-ac1-001,python,ac1,False,3
t2-ac1-001,rust,ac1,False,2
t2-ac2-001,go,ac2,True,3
t2-ac2-001,haskell,ac2,True,3
t2-ac2-001,typescript,ac2,True,3
t2-ac2-001,ocaml,ac2,True,3
t2-ac2-001,python,ac2,True,3
t2-ac2-001,rust,ac2,True,3
t2-ac2-002,go,ac2,True,3
t2-ac2-002,haskell,ac2,True,3
t2-ac2-002,typescript,ac2,True,3
t2-ac2-002,ocaml,ac2,True,3
t2-ac2-002,python,ac2,True,3
t2-ac2-002,rust,ac2,True,3
t2-ac3-001,go,ac3,True,2
t2-ac3-001,haskell,ac3,False,3
t2-ac3-001,typescript,ac3,True,2
t2-ac3-001,ocaml,ac3,True,3
t2-ac3-001,python,ac3,False,2
t2-ac3-001,rust,ac3,True,3
t2-ac3-002,go,ac3,True,3
t2-ac3-002,haskell,ac3,False,3
t2-ac3-002,typescript,ac3,True,2
t2-ac3-002,ocaml,ac3,True,3
t2-ac3-002,python,ac3,True,3
t2-ac3-002,rust,ac3,True,3
t2-ac4-001,go,ac4,True,3
t2-ac4-001,haskell,ac4,False,3
t2-ac4-001,typescript,ac4,True,3
t2-ac4-001,ocaml,ac4,True,3
t2-ac4-001,python,ac4,False,2
t2-ac4-001,rust,ac4,True,2
t3-ac2-001,go,ac2,True,3
t3-ac2-001,haskell,ac2,False,3
t3-ac2-001,typescript,ac2,True,3
t3-ac2-001,ocaml,ac2,True,3
t3-ac2-001,python,ac2,True,3
t3-ac2-001,rust,ac2,True,3
t3-ac2-002,go,ac2,True,3
t3-ac2-002,haskell,ac2,False,3
t3-ac2-002,typescript,ac2,True,2
t3-ac2-002,ocaml,ac2,True,3
t3-ac2-002,python,ac2,False,3
t3-ac2-002,rust,ac2,True,3
t3-ac3-001,go,ac3,False,3
t3-ac3-001,haskell,ac3,False,3
t3-ac3-001,typescript,ac3,False,3
t3-ac3-001,ocaml,ac3,False,1
t3-ac3-001,python,ac3,False,3
t3-ac3-001,rust,ac3,False,2
t3-ac4-001,go,ac4,True,3
t3-ac4-001,haskell,ac4,False,3
t3-ac4-001,typescript,ac4,True,3
t3-ac4-001,ocaml,ac4,True,3
t3-ac4-001,python,ac4,False,3
t3-ac4-001,rust,ac4,True,3
t3-ac4-002,go,ac4,False,3
t3-ac4-002,haskell,ac4,False,3
t3-ac4-002,typescript,ac4,False,3
t3-ac4-002,ocaml,ac4,False,3
t3-ac4-002,python,ac4,False,2
t3-ac4-002,rust,ac4,False,3
t4-ac1-001,go,ac1,True,3
t4-ac1-001,haskell,ac1,True,2
t4-ac1-001,typescript,ac1,True,3
t4-ac1-001,ocaml,ac1,True,2
t4-ac1-001,python,ac1,True,2
t4-ac1-001,rust,ac1,True,3
t4-ac4-001,go,ac4,False,3
t4-ac4-001,haskell,ac4,False,2
t4-ac4-001,typescript,ac4,False,2
t4-ac4-001,ocaml,ac4,False,2
t4-ac4-001,python,ac4,False,3
t4-ac4-001,rust,ac4,False,2
t4-ac4-002,go,ac4,True,3
t4-ac4-002,haskell,ac4,True,3
t4-ac4-002,typescript,ac4,True,3
t4-ac4-002,ocaml,ac4,True,3
t4-ac4-002,python,ac4,True,3
t4-ac4-002,rust,ac4,True,3
t4-ac4-003,go,ac4,False,3
t4-ac4-003,haskell,ac4,False,3
t4-ac4-003,typescript,ac4,False,2
t4-ac4-003,ocaml,ac4,False,2
t4-ac4-003,python,ac4,False,2
t4-ac4-003,rust,ac4,False,3
